F2P Version
8br WarpsLastSpaceBattle
IRi TimeLastMiniStation
x=M WarpsLastMiniStation
gpU MiniStationUA
JvI AnomalyPositionOverride
5ST GameStartAddress1
EeN GameStartAddress2
E?v SavedInteractionIndicies
SEK SavedRaceIndicies
M2Z GalacticMapRequests
nTB FirstShipPosition
G?: HazardTimeAlive
tSD RevealBlackHoles
bIR CurrentFreighter
>Yh FreighterLayout
8ZP FreighterInventory
0wS FreighterInventory_TechOnly
=o: TerrainEditData
Mes Edits
RB7 FreighterUniverseAddress
4Km NPCWorkers
q08 ResourceElement
BKy InteractionSeed
F?0 PersistentPlayerBases
oHw Forward
CVX UserData
@ZJ Objects
r<7 ObjectID
wJ0 Up
aNu At
b1: Timestamp
NKm Name
B2h RID
3?K Owner
f5Q LID
K7E UID
V?: USN
3I1 TS
=3B Chest1Layout
3Nc Chest1Inventory
@ip Chest2Layout
IDc Chest2Inventory
@Ik Chest3Layout
M=: Chest3Inventory
@1E Chest4Layout
iYp Chest4Inventory
XgV Chest5Layout
<IP Chest5Inventory
nw5 Chest6Layout
qYJ Chest6Inventory
tLo Chest7Layout
@e5 Chest7Inventory
7b? Chest8Layout
5uh Chest8Inventory
QBc Chest9Layout
5Tg Chest9Inventory
wqf Chest10Layout
Bq< Chest10Inventory
v8; ChestMagicLayout
;?C ChestMagicInventory
wFm ChestMagic2Layout
fCh ChestMagic2Inventory
Sjw CurrentFreighterNPC
P;m VehicleOwnership
NTx Resource
pMa InventoryLayout
YTa Location
l?l Direction
5sx PrimaryVehicle
@Cs ShipOwnership
aBE PrimaryShip
@Vn MultiShipEnabled
rBG PlayerWeaponName
vxi PlayerFreighterName
h=c StartGameShipPosition
NQJ VisitedPortal
3fO PortalSeed
K:U LastPortalUA
vrS KnownPortalRunes
DaC OnOtherSideOfPortal
LIR PortalMarkerPosition_Local
qW; PortalMarkerPosition_Offset
h4X BaseVersion
BpT [BaseMinorVersion]
peI BaseType
DPp BaseType_
sHl [Message]
1wj HiredWorker (HasTerminal?)
gNy HasTerminal (HiredWorker?)
pNt [??? pNt]
TJx [??? TJx Pos?]
mEH PlayerPositionInSystem
l2U PlayerTransformAt
tnP ShipPositionInSystem
l4H ShipTransformAt
jk4 LastKnownPlayerState
NGn FreighterPositionInSystem
uAt FreighterTransformAt
5Sg FreighterTransformUp
S8b GalaxyWaypointType
SSo EventId

yq: ??? [yq:]
EQt ??? [EQt]
oF@ ??? [oF@]
kN; [Quicksilver]
cid ??? [cid]

A1f MarkerStack
9@i Table
FN5 Event
TWn BuildingLocation
iqv BuildingClass
ADw Time
jGk MissionID
1JW MissionSeed

i;< ??? [i;<]
m4I ??? [m4I]

RQA MaintenanceInteractions
=yU InventoryContainer
wx7 LastUpdateTimestamp
eyv ??? [eyv]
FML ??? [FML]
4>; DamageTimers
XV5 Flags

VhC ??? [VhC]
VPy ??? LaserAmmo [VPy]
:ML ??? GrenadeAmmo [:ML]
cO> ???Ammo [cO>]
Wu? ??? [Wu?]
E=X ??? [E=X]
2Fk ??? [2Fk]

:0x FirstAtlasStationDiscovered
kPF ??? [kPF]
DtI ??? [DtI]
QNH ??? [QNH]
eV1 ??? [eV1]
wc3 ??? [wc3]

7Mc ??? [7Mc]
8xx ??? [8xx]
kYq [CurrentFreighter HomeSeed]

lpm FreighterPosition
9wg FreighterMatrixLookAt
fUl FreighterMatrixUp

c5s BaseBuildingObjects
ofi RegionSeed

nlG TeleportEndpoints
gk4 LookAt
iAF TeleportHost


cL6 ??? BufferAnchors [cL6]
r:j ??? GalacticAddresses [r:j]
w0G ??? BufferAges [w0G]
eiy ??? BufferOffsets/BufferSizes [eiy]

nkF TradingSupplyDataIndex
b69 TradingSupplyData
Iu7 Supply
pfp Demand
JWK Product

HbG LastPortal

;DM ??? [;DM]
Rfw ??? [Rfw]
SYl ??? [SYl]

l:j ??? [l:j]
VFd ??? ID? [VFd]
wnR ??? [wnR]
SMP ??? [SMP]
Aak ??? [Aak]
RVl ??? [RVl]
Ty= ??? [Ty=]
xEg ??? [xEg]
T>1 ??? [T>1]
@6c ??? [@6c]
=Cv ??? [=Cv]
gsg ??? [gsg]
tIm ??? [tIm]
unY ??? [unY]

4hl [ShipUsesOldColors]
3Z> ??? [3Z>]

;Du [Frigates]
SLc [ModelSeed]
@ui [HomeSeed]
4kx [?aquired?]
fH8 [UserDefinedName]
uw7 [ShipType]
SS2 [CrewRace]
0Hi [CrewRaceStr]
5es [Expeditions]
v=L [SuccessfulFights]
5VG [Failed]
MuL [Damages]
Mjm [Modifications]
yJC ??? [yJC]
7hK [DamageValue]

ieD ??? [ieD]
nxr ??? Integer(17812) [nxr]
>db ??? Integer(556306) [>db]
vXX ??? Integer(0) [vXX]
YxD ??? UA? [YxD]
x<b ??? SpawnStateData? [x<b]
wyZ ??? [wyZ]
;YC ??? [;YC]
kpg ??? Integer(1642) [kpg]
8GF ??? Integer(0) [8GF]
7Un ??? Integer(0) [7Un]
aPn ??? Integer(4) [aPn]

a6j StoredInteractions
O49 Interactions

k8N ??? [k8N]
sM@ ??? [sM@]
TD8 ??? [TD8]
<6x ??? [<6x]
Y5p ??? [Y5p]
WX8 ??? [WX8]

rk3 ??? [rk3]

kw: [RunningFrigateMissions]
xVB [MissionType]
TPK [MissionDistance]
bc< [MissionStartTime]
dfZ [MissionTimeOfLastEvent]
o@4 [??? o@4 Position1]
4j2 [??? 4j2 Position2]
b>d [??? b>d Progress in %]
hea [??? hea Some IDs]
3oW [??? 3oW An ID]
sbg [??? sbg MissionValues1]
lD@ [??? lD@ MissionValues2]
WZs [??? WZs Arr:[]]
1xe [??? 1xe Arr:[]]
?DC [??? ?DC Int:0]
U87 [??? U87 Int:14]
G;H [??? G;H Int:0]
omN [??? omN Int:14]
b78 [??? b78 Bool:false]

tUs [MissionTasks]
iaH [??? iaH Arr:[]]
QJG [??? QJG Arr:[]]
fe2 [??? fe2 Arr:[]]
Mx@ [MissionTaskTypeID]
7Q; [??? 7Q; An ID]
bbB [MissionTaskCompleted]
fvN [??? fvN Bool:false]
8GD [??? 8GD Bool:false]


// Fields added by Beyond
hiE AnomalyUniverseAddress
Fk@ AnomalyMatrixLookAt
d72 AnomalyMatrixUp
Yel AnomalyPosition

QQp [CurrentBaseGalaxy]
Bur [??? Bur PlayerStateData Bool:false]
Ue9 [??? Ue9 PlayerStateData Bool:true]
9hR [??? 9hR PlayerStateData Int:11]
8DG [??? 8DG PlayerStateData Int:18]
lmE [??? lmE PlayerStateData Int:13]
qFl [??? qFl PlayerStateData Int:2]
wb: [??? wb: PlayerStateData Bool:true]

b76 [??? b76 InventorySlot Bool:true]
J=S [??? J=S OwnerID]
vyN [??? vyN OwnerName]
a>; [??? a>; TeleportEndpoints Bool:false]
tww [??? tww TeleportEndpoints Bool:false]
30s [??? 30s Last or Special TeleportEndpoint?]
RiP IngredientStorageLayout
Kha IngredientStorageInventory

SuJ [AlternativeWeapons]
CA4 [??? CA4]
OGV [??? OGV Active??]
qVG [??? qVG AlternativeWeapons Int:3]
jl; [??? jl; AlternativeWeapons Int:5]

ux@ [??? ux@ UniverseAddress]
j30 [??? j30]
j3E [??? j3E]

Mcl [Companions]
uKZ [CompanionEggs]
8jm [OriginBiome]
HbY [AnimalRole]
osl [BodyParts]
XID [AnimalType]
WTp [CompanionSeed1]
1p= [CompanionSeed2]
uAX [CompanionSeed3]
6fX [CompanionSeed4]
XwC [CompanionTimestamp1]
tDR [CompanionTimestamp2]
KY5 [CompanionTimestamp3]
@Hb [CompanionTimestamp4]
Q6I [??? Q6I Bool]
eK9 [??? eK9 Bool]
WQX [??? WQX Bool]
xDJ [??? xDJ Float]
m9o [??? m9o LongAsString]
JrL [??? JrL LongAsString]
9Lg [UnlockedCompanionSlots]
